,i,vehicle_id,manufacturer_id,zipcode,timestamp,latlon,dist,seconds,co2_grams,total_dist,total_seconds,total_co2_grams,timestamp_tripstart,avg_kmperhour,avg_co2perkm,trip_id
0,0,V37335728,V11338,10965,2021-08-19 22:05:16,"(52.4938402, 13.3858854)",0.0,0.0,0.0,0.0,0.0,0.0,2021-08-19 22:05:16,0.0,0.0,4
1,1,V37335728,V11338,10965,2021-08-19 22:05:17,"(52.4938098, 13.3857856)",0.01,1.0,1.35,0.01,1.0,1.0,2021-08-19 22:05:16,36.0,100.0,4
2,2,V37335728,V11338,10965,2021-08-19 22:05:19,"(52.4938978, 13.3855431)",0.02,2.0,2.84,0.03,3.0,4.0,2021-08-19 22:05:16,35.99999999999999,133.33333333333334,4
3,3,V37335728,V11338,10965,2021-08-19 22:05:20,"(52.4939364, 13.3854384)",0.01,1.0,1.28,0.04,4.0,5.0,2021-08-19 22:05:16,36.0,125.0,4
4,4,V37335728,V11338,10965,2021-08-19 22:05:22,"(52.4940118, 13.3852869)",0.01,2.0,1.52,0.05,6.0,7.0,2021-08-19 22:05:16,30.0,140.0,4
5,5,V37335728,V11338,10965,2021-08-19 22:05:24,"(52.4940372, 13.3852286)",0.0,2.0,0.0,0.05,8.0,7.0,2021-08-19 22:05:16,22.5,140.0,4
6,6,V37335728,V11338,10965,2021-08-19 22:05:25,"(52.4940232, 13.3850817)",0.01,1.0,0.98,0.06,9.0,8.0,2021-08-19 22:05:16,24.0,133.33333333333334,4
7,7,V37335728,V11338,10965,2021-08-19 22:05:26,"(52.4939581, 13.3849656)",0.01,1.0,0.72,0.07,10.0,9.0,2021-08-19 22:05:16,25.200000000000006,128.57142857142856,4
8,8,V37335728,V11338,10965,2021-08-19 22:05:28,"(52.4938218, 13.3849047)",0.02,2.0,1.4,0.09,12.0,10.0,2021-08-19 22:05:16,26.999999999999996,111.11111111111111,4
9,9,V37335728,V11338,10965,2021-08-19 22:05:28,"(52.4937955, 13.3848929)",0.0,0.0,0.0,0.09,12.0,10.0,2021-08-19 22:05:16,26.999999999999996,111.11111111111111,4
10,10,V37335728,V11338,10965,2021-08-19 22:05:29,"(52.4937309, 13.3848573)",0.01,1.0,1.33,0.1,13.0,11.0,2021-08-19 22:05:16,27.692307692307693,110.0,4
11,11,V37335728,V11338,10965,2021-08-19 22:05:32,"(52.4935844, 13.3847899)",0.02,3.0,2.28,0.12,16.0,13.0,2021-08-19 22:05:16,27.0,108.33333333333334,4
12,12,V37335728,V11338,10965,2021-08-19 22:05:38,"(52.4937128, 13.3841069)",0.05,6.0,4.15,0.17,22.0,17.0,2021-08-19 22:05:16,27.818181818181824,99.99999999999999,4
13,13,V37335728,V11338,10965,2021-08-19 22:05:40,"(52.4937358, 13.3839845)",0.01,2.0,0.71,0.18,24.0,18.0,2021-08-19 22:05:16,26.999999999999996,100.0,4
14,14,V37335728,V11338,10965,2021-08-19 22:05:43,"(52.4937602, 13.3838549)",0.01,3.0,0.58,0.19,27.0,19.0,2021-08-19 22:05:16,25.333333333333332,100.0,4
15,15,V37335728,V11338,10965,2021-08-19 22:05:45,"(52.4937687, 13.3837583)",0.01,2.0,0.46,0.2,29.0,19.0,2021-08-19 22:05:16,24.827586206896555,95.0,4
16,16,V37335728,V11338,10965,2021-08-19 22:05:48,"(52.4937846, 13.383583)",0.01,3.0,0.41,0.21,32.0,19.0,2021-08-19 22:05:16,23.625,90.47619047619048,4
17,17,V37335728,V11338,10965,2021-08-19 22:05:51,"(52.4937746, 13.3834354)",0.01,3.0,0.39,0.22,35.0,19.0,2021-08-19 22:05:16,22.62857142857143,86.36363636363636,4
18,18,V37335728,V11338,10965,2021-08-19 22:05:54,"(52.4937619, 13.3833511)",0.01,3.0,0.43,0.23,38.0,19.0,2021-08-19 22:05:16,21.789473684210527,82.6086956521739,4
19,19,V37335728,V11338,10965,2021-08-19 22:05:57,"(52.4937353, 13.3832086)",0.01,3.0,0.43,0.24,41.0,19.0,2021-08-19 22:05:16,21.073170731707314,79.16666666666667,4
20,20,V37335728,V11338,10965,2021-08-19 22:06:07,"(52.4935571, 13.3826665)",0.04,10.0,1.48,0.28,51.0,20.0,2021-08-19 22:05:16,19.764705882352946,71.42857142857142,4
21,21,V37335728,V11338,10965,2021-08-19 22:06:30,"(52.4931819, 13.381479)",0.09,23.0,2.52,0.37,74.0,23.0,2021-08-19 22:05:16,18.0,62.16216216216216,4
22,22,V37335728,V11338,10965,2021-08-19 22:07:09,"(52.492647, 13.3797902)",0.13,39.0,3.77,0.5,113.0,27.0,2021-08-19 22:05:16,15.929203539823009,54.0,4
23,23,V37335728,V11338,10965,2021-08-19 22:07:12,"(52.4926112, 13.3796772)",0.01,3.0,0.28,0.51,116.0,27.0,2021-08-19 22:05:16,15.827586206896552,52.94117647058823,4
24,24,V37335728,V11338,10963,2021-08-19 22:07:15,"(52.4925507, 13.3794863)",0.01,3.0,0.21,0.52,119.0,27.0,2021-08-19 22:05:16,15.73109243697479,51.92307692307692,4
25,25,V37335728,V11338,10963,2021-08-19 22:07:20,"(52.4927257, 13.3794996)",0.02,5.0,0.44,0.54,124.0,27.0,2021-08-19 22:05:16,15.677419354838708,50.0,4
26,26,V37335728,V11338,10963,2021-08-19 22:07:22,"(52.4927838, 13.379504)",0.01,2.0,0.16,0.55,126.0,27.0,2021-08-19 22:05:16,15.714285714285714,49.090909090909086,4
